類型,專頁,活動名稱,活動日期,活動地點,報名日期,報名狀態,服務學習,SDGs,多元學習護照時數,UCAN共通職能,ActID
線上報名,人文社會學院,114/5/3(六) 08:30-16:30一日農旅人：從田間到古街—人社院人文關懷系列活動,2025.05.03(六) 上午 08:30 ~ 2025.05.03(六) 下午 04:30,綠合農場、大溪老街,2025.04.08(二) ~ 2025.04.28(一) 線上報名,已報名人數：44 名額限制：40 候補人數：4,5 通識課程(課程時數) General Course,"04優質教育,11永續城鄉",無,"溝通表達,持續學習",14509
線上報名,研發處,敬邀Invitation｜Presented in Chinese｜NSTC 114技專及私立大學實務型研究計畫暨產學小聯盟計畫說明會｜NSTC 2025 Practical Research & Industry-Academia Alliance Programs Info Session,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 12:40,60205R,2025.04.08(二) ~ 2025.04.18(五) 線上報名,已報名人數：20 名額限制：70,無,"04優質教育,09工業化、創新及基礎建設",無,無,14506
線上報名,永續發展暨社會責任中心,【永續活動】2025世界地球日「地球力」-氣候與能源教育系列講座2-極端氣候 X 國家安全：台灣能源轉型的生存戰,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,60104R,2025.04.07(一) ~ 2025.04.18(五) 線上報名,已報名人數：120 名額限制：100 候補人數：20,2 學務課程(課程時數) Student Affair Course,07可負擔的潔淨能源,無,持續學習,14504
線上報名,資訊學院英語學士班,資英第二階段大學申請入學甄試工讀生【限定】,2025.05.17(六) 上午 08:00 ~ 2025.05.18(日) 下午 02:00,70206,2025.04.07(一) ~ 2025.04.07(一) 報名已截止,已報名人數：2 名額限制：2,16 愛校服務(活動時數) Campus-loving Service,無,無,無,14503
線上報名,學務處,求職攻略—打造秒錄履歷： 破解HR的5秒法則！,2025.04.24(四) 下午 12:00 ~ 2025.04.24(四) 下午 02:00,70112,2025.04.07(一) ~ 2025.04.20(日) 名額已滿,已報名人數：40 名額限制：40,2 學務課程(課程時數) Student Affair Course,04優質教育,2小時,"溝通表達,持續學習",14501
線上報名,電機通訊學院,【5/13(二)EMI英文電影日】看電影領餐券，精進英文輕鬆學習！,2025.05.13(二) 下午 12:10 ~ 2025.05.13(二) 下午 01:00,70102教室,2025.02.14(五) ~ 2025.05.12(一) 線上報名,已報名人數：87 名額限制：90,無,99以上皆無相關,無,無,14497
線上報名,電機通訊學院,【5/6(二)EMI英文電影日】看電影領餐券，精進英文輕鬆學習！,2025.05.06(二) 下午 12:10 ~ 2025.05.06(二) 下午 01:00,70102教室,2025.02.14(五) ~ 2025.05.05(一) 線上報名,已報名人數：79 名額限制：90,無,99以上皆無相關,無,無,14496
線上報名,國際書院,電通英專校外參訪活動協助-6hr (限定對象),2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 06:00,校外,2025.04.03(四) ~ 2025.04.04(五) 報名已截止,已報名人數：1 名額限制：100,6 專業服務(活動時數) Professional Service,99以上皆無相關,無,無,14487
線上報名,管理學院,【認識產業】管院職涯堂-凱基金控介紹暨實習計畫,2025.04.23(三) 下午 12:00 ~ 2025.04.23(三) 下午 02:00,R70103,2025.04.07(一) ~ 2025.04.18(五) 線上報名,已報名人數：166 名額限制：160 候補人數：6,無,無,無,無,14484
線上報名,圖書資訊服務處,【智財權宣導講座】AI教學中遇到的智慧財產權的法律問題,2025.04.30(三) 下午 02:00 ~ 2025.04.30(三) 下午 04:00,5002電腦教室,2025.04.07(一) ~ 2025.04.21(一) 線上報名,已報名人數：16 名額限制：80,無,16和平、正義及健全制度,無,無,14482
線上報名,通識教學部,"【教師專業社群講座】「漫談AI的應用與未來趨勢」General topics on AI application, and the future.",2025.04.30(三) 下午 12:00 ~ 2025.04.30(三) 下午 02:00,三館 3304PBL教室,2025.04.09(三) ~ 2025.04.25(五) 線上報名,已報名人數：33 名額限制：30 候補人數：3,無,99以上皆無相關,無,無,14481
線上報名,學務處,【113-2國際就業故事館-第四場次：共舞 AI 智能時代，思維重塑與認知飛躍】（擇一認列相關時數）,2025.05.14(三) 下午 12:00 ~ 2025.05.14(三) 下午 02:00,R70101,2025.04.03(四) ~ 2025.05.11(日) 線上報名,已報名人數：139 名額限制：100 候補人數：1,2 學務課程(課程時數) Student Affair Course,04優質教育,2小時,"溝通表達,持續學習,人際互動,團隊合作,問題解決,資訊科技應用",14476
